layer,doc_name,bytes,create_time
L3,cal-diy-l3_lightrag.txt,11209,2026-04-30 11:03:20
L3,caveman-l3_lightrag.txt,3563,2026-06-15 22:34:40
L3,ccxt-l3_lightrag.txt,4363,2026-04-19 02:02:59
L3,chroma-l3_lightrag.txt,2527,2026-06-19 00:39:55
L3,claude-agent-sdk-python-l3_lightrag.txt,5190,2026-04-24 06:46:49
L3,claude-code-action-l3_lightrag.txt,3087,2026-04-24 06:47:55
L3,claude-code-templates-l3_lightrag.txt,6595,2026-07-16 12:50:58
L3,claude-for-small-business-l3_lightrag.txt,3506,2026-06-15 22:40:11
L3,claude-mem-l3_lightrag.txt,6730,2026-07-16 22:08:35
L3,claude-octopus-l3_lightrag.txt,7301,2026-04-21 12:15:52
L3,claude-video-l3_lightrag.txt,9537,2026-07-24 02:34:10
L3,cli-anything-l3_lightrag.txt,12247,2026-05-20 03:02:49
L3,codegraph-l3_lightrag.txt,3199,2026-06-02 10:19:59
L3,codex-plugin-cc-l3_lightrag.txt,11033,2026-04-12 00:40:47
L3,cognee-l3_lightrag.txt,8994,2026-07-27 10:37:34
L3,comfyui-api-server-l3_lightrag.txt,7537,2026-04-12 07:46:50
L3,comfyui-graph-execution-l3_lightrag.txt,5990,2026-04-12 07:48:02
L3,composio-l3_lightrag.txt,4459,2026-06-12 13:09:26
L3,copilotkit-l3_lightrag.txt,10399,2026-04-30 10:18:00
L3,council-of-high-intelligence-l3_lightrag.txt,8849,2026-07-19 02:16:50
L3,crawl4ai-l3_lightrag.txt,11260,2026-04-15 13:25:44
L3,crewai-l3_lightrag.txt,6376,2026-04-19 01:24:22
L3,daymade-skills-l3_lightrag.txt,4865,2026-04-16 13:30:09
L3,deeptutor-l3_lightrag.txt,3772,2026-04-27 11:05:00
L3,docmost-l3_lightrag.txt,4719,2026-05-17 00:17:10
L3,drizzle-orm-l3_lightrag.txt,4851,2026-04-22 13:22:37
L3,dspy-l3_lightrag.txt,8737,2026-04-28 02:10:25
L3,ecc-l3_lightrag.txt,10403,2026-08-01 00:24:43
L3,everything-claude-code-l3_lightrag.txt,8909,2026-04-27 11:13:44
L3,fabric-danielmiessler-l3_lightrag.txt,9988,2026-05-21 10:00:18
L3,ffmpeg-l3_lightrag.txt,4645,2026-04-19 01:54:03
L3,firecrawl-l3_lightrag.txt,4065,2026-04-19 01:52:26
L3,five-whys-skill-l3_lightrag.txt,5892,2026-04-21 12:17:13
L3,flowise-l3_lightrag.txt,10331,2026-04-30 11:01:16
L3,foundry-l3_lightrag.txt,8459,2026-04-28 02:08:46
L3,framer-motion-l3_lightrag.txt,13283,2026-04-12 03:13:34
L3,freqtrade-l3_lightrag.txt,4818,2026-04-19 02:03:41
L3,fumadocs-l3_lightrag.txt,9689,2026-04-30 10:38:27
L3,gbrain-l3_lightrag.txt,4799,2026-04-16 14:26:25
L3,geo-seo-claude-l3_lightrag.txt,3698,2026-05-28 13:02:20
L3,gh-aw-agentic-workflows-l3_lightrag.txt,3931,2026-04-15 14:01:53
L3,github-cli-gh-l3_lightrag.txt,9127,2026-04-11 23:59:56
L3,google-workspace-cli-l3_lightrag.txt,10827,2026-04-12 05:34:18
L3,goose-l3_lightrag.txt,2687,2026-06-02 13:13:37
L3,graphify-l3_lightrag.txt,3809,2026-04-15 00:56:53
L3,gstack-garrytan-l3_lightrag.txt,9747,2026-04-27 13:31:53
L3,hermes-agent-l3_lightrag.txt,3207,2026-06-13 01:17:56
L3,hono-l3_lightrag.txt,4293,2026-04-22 13:27:05
L3,hoppscotch-l3_lightrag.txt,2639,2026-06-15 22:47:14
L3,i-have-adhd-l3_lightrag.txt,7189,2026-07-25 04:54:56
L3,impeccable-l3_lightrag.txt,2664,2026-04-16 13:12:17
L3,inngest-l3_lightrag.txt,6919,2026-04-12 08:00:50
L3,inspect-ai-l3_lightrag.txt,9540,2026-04-28 02:12:14
L3,instagrapi-l3_lightrag.txt,8080,2026-04-12 07:56:13
L3,kestra-l3_lightrag.txt,3333,2026-05-22 09:29:10
L3,langfuse-l3_lightrag.txt,6687,2026-04-28 02:05:44
L3,langgraph-l3_lightrag.txt,4445,2026-04-19 01:34:39
L3,last30days-skill-l3_lightrag.txt,4928,2026-06-21 06:35:44
L3,letta-code-l3_lightrag.txt,3829,2026-04-16 13:49:12
L3,lightrag-framework-l3_lightrag.txt,17614,2026-04-12 02:03:47
L3,listmonk-l3_lightrag.txt,3049,2026-06-09 22:42:15
L3,livekit-agents-l3_lightrag.txt,9586,2026-04-30 10:19:50
L3,markitdown-l3_lightrag.txt,3957,2026-04-23 22:29:32
L3,mastra-l3_lightrag.txt,4523,2026-04-19 01:35:25
L3,mattpocock-skills-l3_lightrag.txt,5085,2026-06-12 13:27:50
L3,mcollina-nodejs-skills-l3_lightrag.txt,3615,2026-04-14 11:36:21
L3,mcp2cli-l3_lightrag.txt,5836,2026-04-18 11:59:07
L3,mcp-agent-lastmile-l3_lightrag.txt,3281,2026-07-10 22:12:12
L3,mcp-devtools-sammcj-l3_lightrag.txt,5669,2026-07-31 13:12:44
L3,mcp-servers-l3_lightrag.txt,7134,2026-04-15 00:56:04
L3,mcpsnoop-l3_lightrag.txt,6202,2026-07-24 12:00:03
L3,meetily-l3_lightrag.txt,5172,2026-07-13 12:07:53
L3,microsoft-graphrag-l3_lightrag.txt,5693,2026-05-19 12:02:29
L3,multica-l3_lightrag.txt,7862,2026-05-21 09:56:54
L3,mvp-builder-l3_lightrag.txt,6964,2026-04-21 11:59:00
L3,n8n-as-code-l3_lightrag.txt,4524,2026-04-19 02:04:32
L3,n8n-l3_lightrag.txt,4801,2026-04-19 01:36:21
L3,nextjs-l3_lightrag.txt,6012,2026-04-14 11:21:26
L3,notebooklm-cli-full-l3_lightrag.txt,2614,2026-04-13 04:07:23
L3,novu-l3_lightrag.txt,2502,2026-06-15 22:23:02
L3,obsidian-skills-l3_lightrag.txt,8948,2026-04-12 03:10:52
L3,odysseus-l3_lightrag.txt,4244,2026-06-06 03:23:16
L3,officecli-l3_lightrag.txt,3864,2026-04-16 14:32:15
L3,openclaude-l3_lightrag.txt,5602,2026-04-17 08:17:38
L3,opencode-anomalyco-l3_lightrag.txt,4698,2026-05-12 21:05:28
L3,opencut-l3_lightrag.txt,6053,2026-07-13 12:12:52
L3,openhuman-l3_lightrag.txt,4330,2026-06-01 06:06:28
L3,open-interpreter-l3_lightrag.txt,9232,2026-04-30 10:32:49
L3,openllmetry-l3_lightrag.txt,10264,2026-04-30 10:34:33
L3,openmanus-foundationagents-l3_lightrag.txt,2633,2026-07-10 22:30:35
L3,open-multi-agent-l3_lightrag.txt,5319,2026-07-31 13:11:39
L3,openspec-spec-driven-dev-l3_lightrag.txt,6622,2026-05-07 10:25:58
L3,openswarm-vrsen-l3_lightrag.txt,7793,2026-05-09 13:43:24
L3,openzeppelin-contracts-l3_lightrag.txt,8021,2026-04-28 02:07:15
L3,orca-l3_lightrag.txt,6622,2026-07-28 12:28:20
L3,paperclip-l3_lightrag.txt,3158,2026-06-13 01:03:45
L3,paseo-l3_lightrag.txt,4230,2026-04-16 14:20:05
L3,pi-agent-harness-l3_lightrag.txt,8233,2026-07-26 01:29:23
L3,pipecat-l3_lightrag.txt,5596,2026-04-16 14:16:08
L3,pixelrag-startrail-l3_lightrag.txt,4735,2026-07-30 02:48:37
L3,playwright-cli-l3_lightrag.txt,4910,2026-04-15 00:57:47
L3,pm-skills-deanpeters-l3_lightrag.txt,7912,2026-04-21 11:57:14
L3,pocketbase-l3_lightrag.txt,2737,2026-06-21 02:24:21
L3,polar-l3_lightrag.txt,3652,2026-05-22 21:56:42
L3,ponytail-l3_lightrag.txt,3107,2026-06-15 22:32:50
L3,posthog-l3_lightrag.txt,9708,2026-04-30 10:23:33
L3,postiz-l3_lightrag.txt,4271,2026-06-10 10:44:30
L3,ppt-master-l3_lightrag.txt,4825,2026-06-10 10:57:42
L3,prd-skill-johnnychauvet-l3_lightrag.txt,6311,2026-04-21 12:18:30
L3,qdrant-l3_lightrag.txt,2450,2026-06-02 08:17:53
L3,qmd-l3_lightrag.txt,4183,2026-06-17 00:04:05
L3,quant-mind-l3_lightrag.txt,3599,2026-06-06 03:21:12
L3,rag-anything-l3_lightrag.txt,3681,2026-04-15 01:18:15
L3,ragas-explodinggradients-l3_lightrag.txt,7298,2026-05-01 10:05:39
L3,reflex-l3_lightrag.txt,11559,2026-04-30 10:40:24
L3,remotion-l3_lightrag.txt,9022,2026-04-15 13:31:02
L3,resend-react-email-l3_lightrag.txt,6597,2026-04-14 11:22:50
L3,rowboat-l3_lightrag.txt,3423,2026-05-27 12:03:16
L3,rtk-l3_lightrag.txt,9552,2026-04-17 09:07:52
L3,ruflo-l3_lightrag.txt,11493,2026-05-13 22:51:26
L3,scrapling-l3_lightrag.txt,8173,2026-07-19 02:23:43
L3,shadcn-ui-l3_lightrag.txt,12487,2026-04-12 02:01:16
L3,skill-ai-seo-l3_lightrag.txt,2977,2026-04-14 12:23:40
L3,skill-content-cascade-l3_lightrag.txt,3278,2026-04-13 04:01:28
L3,skill-creator-l3_lightrag.txt,2845,2026-04-12 07:22:07
L3,skill-deep-research-l3_lightrag.txt,3101,2026-04-13 03:57:23
L3,skill-docx-l3_lightrag.txt,4657,2026-04-12 07:16:52
L3,skill-dream-l3_lightrag.txt,2412,2026-04-13 03:53:10
L3,skill-file-reading-l3_lightrag.txt,4133,2026-04-12 07:21:04
L3,skill-frontend-design-l3_lightrag.txt,4111,2026-04-12 07:20:24
L3,skill-hooks-kallaway-l3_lightrag.txt,3185,2026-04-13 04:02:18
L3,skill-optimization-methods-l3_lightrag.txt,3988,2026-04-14 11:37:11
L3,skill-page-cro-l3_lightrag.txt,2481,2026-04-14 12:22:53
L3,skill-pdf-l3_lightrag.txt,5095,2026-04-12 07:17:59
L3,skill-pdf-reading-l3_lightrag.txt,4111,2026-04-12 07:18:38
L3,skill-pptx-l3_lightrag.txt,2807,2026-04-12 07:19:14
L3,skill-product-self-knowledge-l3_lightrag.txt,2280,2026-04-12 07:21:27
L3,skill-site-teardown-l3_lightrag.txt,3365,2026-04-13 03:52:33
L3,skillui-l3_lightrag.txt,3477,2026-04-16 13:12:53
L3,skill-xlsx-l3_lightrag.txt,3447,2026-04-12 07:19:52
L3,skill-yt-pipeline-l3_lightrag.txt,3410,2026-04-13 03:53:57
L3,smithery-smithery-ai-l3_lightrag.txt,6609,2026-05-01 10:07:08
L3,smolagents-l3_lightrag.txt,3828,2026-04-24 07:41:20
L3,sns-writing-rules-l3_lightrag.txt,2382,2026-04-13 04:05:25
L3,solace-agent-mesh-l3_lightrag.txt,4795,2026-07-31 13:13:43
L3,stagehand-l3_lightrag.txt,8101,2026-05-21 10:39:51
L3,stop-slop-l3_lightrag.txt,3640,2026-07-16 22:10:59
L3,stripe-cli-l3_lightrag.txt,9331,2026-04-12 00:06:02
L3,stripe-sdk-l3_lightrag.txt,5406,2026-04-14 11:22:06
L3,supabase-l3_lightrag.txt,5692,2026-04-19 02:05:25
L3,surfsense-l3_lightrag.txt,3374,2026-06-15 22:15:14
L3,syncthing-l3_lightrag.txt,3520,2026-06-07 01:57:15
L3,taste-skill-l3_lightrag.txt,3620,2026-04-16 13:13:40
L3,tradingagents-tauric-research-l3_lightrag.txt,5555,2026-05-11 20:57:37
L3,trellis-mindfold-l3_lightrag.txt,6307,2026-04-30 13:43:09
L3,trigger-dev-l3_lightrag.txt,12412,2026-04-30 10:36:38
L3,turborepo-l3_lightrag.txt,3744,2026-04-22 13:27:58
L3,tweepy-l3_lightrag.txt,6712,2026-04-12 07:55:08
L3,twenty-crm-l3_lightrag.txt,3229,2026-05-12 13:58:14
L3,understand-anything-l3_lightrag.txt,5009,2026-06-07 02:13:34
L3,unkey-unkeyed-l3_lightrag.txt,6151,2026-05-01 10:03:47
L3,vercel-ai-sdk-l3_lightrag.txt,15157,2026-04-12 02:20:08
L3,vercel-l3_lightrag.txt,5159,2026-04-19 02:06:18
L3,viga-l3_lightrag.txt,3138,2026-06-06 03:22:30
L3,vimax-l3_lightrag.txt,3816,2026-06-06 03:21:55
L3,virtual-protocol-org-l3_lightrag.txt,7087,2026-04-27 12:19:06
L3,virtuals-game-framework-l3_lightrag.txt,9119,2026-04-27 12:23:35
L3,vitest-l3_lightrag.txt,4681,2026-04-22 13:28:53
L3,voxcpm-openbmb-l3_lightrag.txt,8860,2026-04-30 13:50:42
L3,waggle-l3_lightrag.txt,10931,2026-07-19 02:21:42
L3,wardrobe-tandpfun-l3_lightrag.txt,5424,2026-07-18 13:22:19
L3,watch-video-skill-l3_lightrag.txt,6899,2026-07-24 02:35:28
L3,wshobson-agents-l3_lightrag.txt,9621,2026-04-21 12:02:04
L3,zerolang-l3_lightrag.txt,3584,2026-06-12 14:06:46
